Ticker,Weight
NEM UN Equity,0.0467
PG UN Equity,0.0462
JNJ UN Equity,0.0461
O UN Equity,0.046
PPL UN Equity,0.0457
PNW UN Equity,0.0455
SO UN Equity,0.0452
EA UW Equity,0.0452
MLM UN Equity,0.0445
DE UN Equity,0.0445
MCO UN Equity,0.0443
PFG UW Equity,0.0437
CSCO UW Equity,0.0432
GM UN Equity,0.0431
FDX UN Equity,0.0423
BK UN Equity,0.0422
JCI UN Equity,0.0416
PNR UN Equity,0.0414
TROW UW Equity,0.0407
JPM UN Equity,0.0406
BAC UN Equity,0.0398
APH UN Equity,0.0389
MS UN Equity,0.0364
WDC UW Equity,0.0036
STX UW Equity,0.0025
